No.;Time;Source;Destination;Protocol;Length;Info
4524;60.334986;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4525;60.334986;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4526;60.335036;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4527;60.335075;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4528;60.335075;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4529;60.335075;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4530;60.335075;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4531;60.335075;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4532;60.335075;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4533;60.335075;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4534;60.335166;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4535;60.335198;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4536;60.335243;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4537;60.335273;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4538;60.335484;192.168.43.84;112.215.207.44;UDP;78;60544  >  443 Len=36
4539;60.336027;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4540;60.336027;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4541;60.336027;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4542;60.336027;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4543;60.336027;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4544;60.336027;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4545;60.336027;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4546;60.336803;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
